Format,Common Name,Scientific Name,Date,Year,Month,Day,Time,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Air Temp(°C)
Audio,Ruby-throated Hummingbird,Archilochus colubris,5/5/1995,1995,5,5,900,US-TX-469,Texas,Victoria,24.0 km NW of Victoria; Guadalupe River,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,1997,,,,US-MO-019,Missouri,Boone,Grindstone Nature Area,38.9287679,-92.3171282,Adult – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,1997,4,,,US-TX-355,Texas,Nueces,"Flour Bluff, Corpus Christi",27.650856,-97.297662,Adult – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,1997,4,,,US-TX-355,Texas,Nueces,"Flour Bluff, Corpus Christi",27.650856,-97.297662,Adult – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,1997,4,,,US-TX-355,Texas,Nueces,"Flour Bluff, Corpus Christi",27.650856,-97.297662,Adult – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,4/23/1997,1997,4,23,,US-TX-355,Texas,Nueces,"Flour Bluff, Corpus Christi",27.650856,-97.297662,Adult Female – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,1998,4,,,US-TX,Texas,,,,,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/17/2000,2000,7,17,1000,US-NH-009,New Hampshire,Grafton,Helene Nagy's house,43.8777803,-72.102062,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,4/27/2001,2001,4,27,900,US-TX-167,Texas,Galveston,High Island (UTC 051),29.565224,-94.3963361,Adult Female – 1,
Audio,Ruby-throated Hummingbird,Archilochus colubris,8/18/2001,2001,8,18,0,US-NJ-009,New Jersey,Cape May,Stevens Street-yard,38.9417118,-74.9477327,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/24/2002,2002,6,24,0,US-WI-029,Wisconsin,Door,Rushes - Logerquist Wilderness  Preserve (Private),45.0193368,-87.1686602,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/5/2005,2005,5,5,638,US-TX-261,Texas,Kenedy,El Canelo Ranch entrance road  and  Inn at El Canelo,26.662,-97.8305,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/5/2005,2005,5,5,638,US-TX-261,Texas,Kenedy,El Canelo Ranch entrance road  and  Inn at El Canelo,26.662,-97.8305,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/30/2005,2005,5,30,0,US-MO-077,Missouri,Greene,Woodbine St.,37.2698608,-93.3027864,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/17/2005,2005,7,17,1745,US-LA-103,Louisiana,St. Tammany,221 Leeds,30.2844718,-89.7136158,Adult Male,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,,2006,5,,,US-NY,New York,,,,,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/4/2006,2006,5,4,0,US-DC-001,District of Columbia,District of Columbia,Rock Creek Park--Maintenance Yard,38.9554951,-77.0493486,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,5/11/2006,2006,5,11,0,US-TX-321,Texas,Matagorda,Mad Island WMA- Crab Lake area,28.6743231,-96.0500336,Adult Female – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult Male – 1,
Video,Ruby-throated Hummingbird,Archilochus colubris,6/10/2006,2006,6,10,,US-NY-109,New York,Tompkins,Ithaca,,,Adult – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/28/2006,2006,6,28,0,US-WI-029,Wisconsin,Door,Rushes - Logerquist Wilderness  Preserve (Private),45.0193368,-87.1686602,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/28/2006,2006,6,28,0,US-WI-029,Wisconsin,Door,Rushes - Logerquist Wilderness  Preserve (Private),45.0193368,-87.1686602,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,6/29/2006,2006,6,29,0,US-WI-029,Wisconsin,Door,Rushes - Logerquist Wilderness  Preserve (Private),45.0193368,-87.1686602,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,7/27/2006,2006,7,27,0,US-WI-029,Wisconsin,Door,Chambers Island,45.1700762,-87.3529823,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/12/2006,2006,8,12,0,US-MN-135,Minnesota,Roseau,Warroad,48.90529,-95.31444,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/12/2006,2006,8,12,0,US-MN-135,Minnesota,Roseau,Warroad,48.90529,-95.31444,Adult Female,
Photo,Ruby-throated Hummingbird,Archilochus colubris,8/23/2006,2006,8,23,0,US-TX-309,Texas,McLennan,10021 Barton Ck Dr.,31.6248416,-97.2379732,Adult Male – 1,
