Format,Common Name,Scientific Name,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Air Temp(°C)
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/4/2022,2022,1,4,700,United States,US-NJ-009,New Jersey,Cape May,Stevens Street-yard,38.9417118,-74.9477327,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/4/2022,2022,1,4,800,United States,US-NC-055,North Carolina,Dare,Waves soundfront,35.5622821,-75.4715037,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/4/2022,2022,1,4,800,United States,US-NC-055,North Carolina,Dare,Waves soundfront,35.5622821,-75.4715037,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/6/2022,2022,1,6,817,United States,US-NC-055,North Carolina,Dare,Waves soundfront,35.5622821,-75.4715037,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/7/2022,2022,1,7,800,United States,US-NC-055,North Carolina,Dare,Waves soundfront,35.5622821,-75.4715037,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/8/2022,2022,1,8,800,United States,US-NC-055,North Carolina,Dare,Waves soundfront,35.5622821,-75.4715037,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/8/2022,2022,1,8,829,United States,US-AL-003,Alabama,Baldwin,"601 W Orchid Ave, Foley US-AL 30.41158, -87.69411",30.411578,-87.694108,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/8/2022,2022,1,8,829,United States,US-AL-003,Alabama,Baldwin,"601 W Orchid Ave, Foley US-AL 30.41158, -87.69411",30.411578,-87.694108,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/8/2022,2022,1,8,1047,United States,US-FL-057,Florida,Hillsborough,US-FL-Valrico-2515 Culbreath Cove Ct - 27.8784x-82.2430,27.878442,-82.242973,Adult Female – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/9/2022,2022,1,9,820,United States,US-NC-055,North Carolina,Dare,Waves soundfront,35.5622821,-75.4715037,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/10/2022,2022,1,10,724,United States,US-NC-055,North Carolina,Dare,Waves soundfront,35.5622821,-75.4715037,Adult Male – 1,
Photo,Ruby-throated Hummingbird,Archilochus colubris,1/10/2022,2022,1,10,724,United States,US-NC-055,North Carolina,Dare,Waves soundfront,35.5622821,-75.4715037,Adult Male – 1,
